colname,selectcol,new_colname,experiment
Proteins.Unique.Sequence.ID,,,
Checked,,,
Protein.FDR.Confidence.Combined,Yes,Protein.FDR.Confidence.Combined,
Master,,,
Accession,Yes,Accession,
Description,Yes,Description,
Exp.q-value.Combined,,,
Contaminant,,,
Sum.PEP.Score,,,
Coverage.in.Percent,,,
Number.of.Peptides,,,
Number.of.PSMs,,,
Number.of.Unique.Peptides,,,
Number.of.AAs,,,
MW.in.kDa,,,
calc.pI,,,
Score.Sequest.HT.Sequest.HT,,,
Number.of.Peptides.by.Search.Engine.Sequest.HT,,,
Abundances.Normalized.F1.Light.Control.Hevay_HA,Yes,Control_1,1
Abundances.Normalized.F2.Light.Control.Hevay_HA,Yes,Control_2,1
Abundances.Normalized.F3.Light.Control.Hevay_HA,Yes,Control_3,1
Abundances.Normalized.F4.Light.Control.Hevay_HA,Yes,Control_4,1
Abundances.Normalized.F5.Light.Control.Hevay_HA,Yes,Control_5,1
Abundances.Normalized.F6.Light.Control.Hevay_HA,Yes,Control_6,1
Abundances.Normalized.F13.Light.Sample.Heavy_wt,Yes,Sample_1,2
Abundances.Normalized.F14.Light.Sample.Heavy_wt,Yes,Sample_2,2
Abundances.Normalized.F15.Light.Sample.Heavy_wt,Yes,Sample_3,2
Abundances.Normalized.F16.Light.Sample.Heavy_wt,Yes,Sample_4,2
Abundances.Normalized.F17.Light.Sample.Heavy_wt,Yes,Sample_5,2
Abundances.Normalized.F18.Light.Sample.Heavy_wt,Yes,Sample_6,2
Abundances.Normalized.F1.Heavy.Sample.Hevay_HA,Yes,Sample_1,1
Abundances.Normalized.F2.Heavy.Sample.Hevay_HA,Yes,Sample_2,1
Abundances.Normalized.F3.Heavy.Sample.Hevay_HA,Yes,Sample_3,1
Abundances.Normalized.F4.Heavy.Sample.Hevay_HA,Yes,Sample_4,1
Abundances.Normalized.F5.Heavy.Sample.Hevay_HA,Yes,Sample_5,1
Abundances.Normalized.F6.Heavy.Sample.Hevay_HA,Yes,Sample_6,1
Abundances.Normalized.F13.Heavy.Sample.Heavy_wt,Yes,Control_1,2
Abundances.Normalized.F14.Heavy.Sample.Heavy_wt,Yes,Control_2,2
Abundances.Normalized.F15.Heavy.Sample.Heavy_wt,Yes,Control_3,2
Abundances.Normalized.F16.Heavy.Sample.Heavy_wt,Yes,Control_4,2
Abundances.Normalized.F17.Heavy.Sample.Heavy_wt,Yes,Control_5,2
Abundances.Normalized.F18.Heavy.Sample.Heavy_wt,Yes,Control_6,2
Abundance.F1.Light.Control.Hevay_HA,,,
Abundance.F2.Light.Control.Hevay_HA,,,
Abundance.F3.Light.Control.Hevay_HA,,,
Abundance.F4.Light.Control.Hevay_HA,,,
Abundance.F5.Light.Control.Hevay_HA,,,
Abundance.F6.Light.Control.Hevay_HA,,,
Abundance.F13.Light.Sample.Heavy_wt,,,
Abundance.F14.Light.Sample.Heavy_wt,,,
Abundance.F15.Light.Sample.Heavy_wt,,,
Abundance.F16.Light.Sample.Heavy_wt,,,
Abundance.F17.Light.Sample.Heavy_wt,,,
Abundance.F18.Light.Sample.Heavy_wt,,,
Abundance.F1.Heavy.Sample.Hevay_HA,,,
Abundance.F2.Heavy.Sample.Hevay_HA,,,
Abundance.F3.Heavy.Sample.Hevay_HA,,,
Abundance.F4.Heavy.Sample.Hevay_HA,,,
Abundance.F5.Heavy.Sample.Hevay_HA,,,
Abundance.F6.Heavy.Sample.Hevay_HA,,,
Abundance.F13.Heavy.Sample.Heavy_wt,,,
Abundance.F14.Heavy.Sample.Heavy_wt,,,
Abundance.F15.Heavy.Sample.Heavy_wt,,,
Abundance.F16.Heavy.Sample.Heavy_wt,,,
Abundance.F17.Heavy.Sample.Heavy_wt,,,
Abundance.F18.Heavy.Sample.Heavy_wt,,,
Found.in.Sample.in.S1.F1.Light.Control.Hevay_HA,,,
Found.in.Sample.in.S2.F2.Light.Control.Hevay_HA,,,
Found.in.Sample.in.S3.F3.Light.Control.Hevay_HA,,,
Found.in.Sample.in.S4.F4.Light.Control.Hevay_HA,,,
Found.in.Sample.in.S5.F5.Light.Control.Hevay_HA,,,
Found.in.Sample.in.S6.F6.Light.Control.Hevay_HA,,,
Found.in.Sample.in.S25.F13.Light.Sample.Heavy_wt,,,
Found.in.Sample.in.S26.F14.Light.Sample.Heavy_wt,,,
Found.in.Sample.in.S27.F15.Light.Sample.Heavy_wt,,,
Found.in.Sample.in.S28.F16.Light.Sample.Heavy_wt,,,
Found.in.Sample.in.S29.F17.Light.Sample.Heavy_wt,,,
Found.in.Sample.in.S30.F18.Light.Sample.Heavy_wt,,,
Found.in.Sample.in.S7.F1.Heavy.Sample.Hevay_HA,,,
Found.in.Sample.in.S8.F2.Heavy.Sample.Hevay_HA,,,
Found.in.Sample.in.S9.F3.Heavy.Sample.Hevay_HA,,,
Found.in.Sample.in.S10.F4.Heavy.Sample.Hevay_HA,,,
Found.in.Sample.in.S11.F5.Heavy.Sample.Hevay_HA,,,
Found.in.Sample.in.S12.F6.Heavy.Sample.Hevay_HA,,,
Found.in.Sample.in.S31.F13.Heavy.Sample.Heavy_wt,,,
Found.in.Sample.in.S32.F14.Heavy.Sample.Heavy_wt,,,
Found.in.Sample.in.S33.F15.Heavy.Sample.Heavy_wt,,,
Found.in.Sample.in.S34.F16.Heavy.Sample.Heavy_wt,,,
Found.in.Sample.in.S35.F17.Heavy.Sample.Heavy_wt,,,
Found.in.Sample.in.S36.F18.Heavy.Sample.Heavy_wt,,,
Number.of.Protein.Groups,,,
Modifications,,,
