colname,selectcol,new_colname
Peptide.Groups.Peptide.Group.ID,,
Checked,,
Confidence,,
Annotated.Sequence,Yes,Annotated.Sequence
Modifications,,
Contaminant,Yes,Contaminant
Qvality.PEP,,
Qvality.q-value,,
Number.of.Protein.Groups,,
Number.of.Proteins,,
Number.of.PSMs,,
Master.Protein.Accessions,Yes,Master.Protein.Accessions
Positions.in.Master.Proteins,,
Modifications.in.Master.Proteins,,
Number.of.Missed.Cleavages,,
Theo.MHplus.in.Da,,
Abundance.F1.Light.Control.Hevay_HA,Yes,Mix_Control_rep1
Abundance.F2.Light.Control.Hevay_HA,Yes,Mix_Control_rep2
Abundance.F3.Light.Control.Hevay_HA,Yes,Mix_Control_rep3
Abundance.F4.Light.Control.Hevay_HA,Yes,Mix_Control_rep4
Abundance.F5.Light.Control.Hevay_HA,Yes,Mix_Control_rep5
Abundance.F6.Light.Control.Hevay_HA,Yes,Mix_Control_rep6
Abundance.F13.Light.Sample.Heavy_wt,Yes,Swap_Sample_rep1
Abundance.F14.Light.Sample.Heavy_wt,Yes,Swap_Sample_rep2
Abundance.F15.Light.Sample.Heavy_wt,Yes,Swap_Sample_rep3
Abundance.F16.Light.Sample.Heavy_wt,Yes,Swap_Sample_rep4
Abundance.F17.Light.Sample.Heavy_wt,Yes,Swap_Sample_rep5
Abundance.F18.Light.Sample.Heavy_wt,Yes,Swap_Sample_rep6
Abundance.F1.Heavy.Sample.Hevay_HA,Yes,Mix_Sample_rep1
Abundance.F2.Heavy.Sample.Hevay_HA,Yes,Mix_Sample_rep2
Abundance.F3.Heavy.Sample.Hevay_HA,Yes,Mix_Sample_rep3
Abundance.F4.Heavy.Sample.Hevay_HA,Yes,Mix_Sample_rep4
Abundance.F5.Heavy.Sample.Hevay_HA,Yes,Mix_Sample_rep5
Abundance.F6.Heavy.Sample.Hevay_HA,Yes,Mix_Sample_rep6
Abundance.F13.Heavy.Sample.Heavy_wt,Yes,Swap_Control_rep1
Abundance.F14.Heavy.Sample.Heavy_wt,Yes,Swap_Control_rep2
Abundance.F15.Heavy.Sample.Heavy_wt,Yes,Swap_Control_rep3
Abundance.F16.Heavy.Sample.Heavy_wt,Yes,Swap_Control_rep4
Abundance.F17.Heavy.Sample.Heavy_wt,Yes,Swap_Control_rep5
Abundance.F18.Heavy.Sample.Heavy_wt,Yes,Swap_Control_rep6
Abundances.Count.F1.Light.Control.Hevay_HA,,
Abundances.Count.F2.Light.Control.Hevay_HA,,
Abundances.Count.F3.Light.Control.Hevay_HA,,
Abundances.Count.F4.Light.Control.Hevay_HA,,
Abundances.Count.F5.Light.Control.Hevay_HA,,
Abundances.Count.F6.Light.Control.Hevay_HA,,
Abundances.Count.F13.Light.Sample.Heavy_wt,,
Abundances.Count.F14.Light.Sample.Heavy_wt,,
Abundances.Count.F15.Light.Sample.Heavy_wt,,
Abundances.Count.F16.Light.Sample.Heavy_wt,,
Abundances.Count.F17.Light.Sample.Heavy_wt,,
Abundances.Count.F18.Light.Sample.Heavy_wt,,
Abundances.Count.F1.Heavy.Sample.Hevay_HA,,
Abundances.Count.F2.Heavy.Sample.Hevay_HA,,
Abundances.Count.F3.Heavy.Sample.Hevay_HA,,
Abundances.Count.F4.Heavy.Sample.Hevay_HA,,
Abundances.Count.F5.Heavy.Sample.Hevay_HA,,
Abundances.Count.F6.Heavy.Sample.Hevay_HA,,
Abundances.Count.F13.Heavy.Sample.Heavy_wt,,
Abundances.Count.F14.Heavy.Sample.Heavy_wt,,
Abundances.Count.F15.Heavy.Sample.Heavy_wt,,
Abundances.Count.F16.Heavy.Sample.Heavy_wt,,
Abundances.Count.F17.Heavy.Sample.Heavy_wt,,
Abundances.Count.F18.Heavy.Sample.Heavy_wt,,
Precursor.Quan.Result.ID,,
